"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","2017",38.8657,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","2018",38.9753,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","2019",40.555,
"AUT","MATCONSUMP","TOT","TONNE_CAP","A","2017",18.8534,
"AUT","MATCONSUMP","TOT","TONNE_CAP","A","2018",18.9271,
"AUT","MATCONSUMP","TOT","TONNE_CAP","A","2019",18.6867,
"AUT","MATCONSUMP","TOT","TONNE_CAP","A","2020",18.4128,"E"
"BEL","MATCONSUMP","TOT","TONNE_CAP","A","2017",13.8117,
"BEL","MATCONSUMP","TOT","TONNE_CAP","A","2018",13.3813,
"BEL","MATCONSUMP","TOT","TONNE_CAP","A","2019",13.751,
"BEL","MATCONSUMP","TOT","TONNE_CAP","A","2020",13.4685,"E"
"CAN","MATCONSUMP","TOT","TONNE_CAP","A","2017",57.4342,
"CAN","MATCONSUMP","TOT","TONNE_CAP","A","2018",55.9672,
"CAN","MATCONSUMP","TOT","TONNE_CAP","A","2019",57.0487,
"CZE","MATCONSUMP","TOT","TONNE_CAP","A","2017",15.5944,
"CZE","MATCONSUMP","TOT","TONNE_CAP","A","2018",15.8152,
"CZE","MATCONSUMP","TOT","TONNE_CAP","A","2019",15.8853,
"CZE","MATCONSUMP","TOT","TONNE_CAP","A","2020",14.7101,
"DNK","MATCONSUMP","TOT","TONNE_CAP","A","2017",24.4675,
"DNK","MATCONSUMP","TOT","TONNE_CAP","A","2018",24.443,
"DNK","MATCONSUMP","TOT","TONNE_CAP","A","2019",24.7185,
"DNK","MATCONSUMP","TOT","TONNE_CAP","A","2020",24.1888,
"FIN","MATCONSUMP","TOT","TONNE_CAP","A","2017",32.8006,
"FIN","MATCONSUMP","TOT","TONNE_CAP","A","2018",34.3612,
"FIN","MATCONSUMP","TOT","TONNE_CAP","A","2019",31.3404,
"FIN","MATCONSUMP","TOT","TONNE_CAP","A","2020",32.8217,
"FRA","MATCONSUMP","TOT","TONNE_CAP","A","2017",11.9783,
"FRA","MATCONSUMP","TOT","TONNE_CAP","A","2018",11.6985,
"FRA","MATCONSUMP","TOT","TONNE_CAP","A","2019",11.7836,
"FRA","MATCONSUMP","TOT","TONNE_CAP","A","2020",10.5879,"E"
"DEU","MATCONSUMP","TOT","TONNE_CAP","A","2017",15.3174,
"DEU","MATCONSUMP","TOT","TONNE_CAP","A","2018",14.853,
"DEU","MATCONSUMP","TOT","TONNE_CAP","A","2019",14.1822,
"DEU","MATCONSUMP","TOT","TONNE_CAP","A","2020",13.2016,"E"
"GRC","MATCONSUMP","TOT","TONNE_CAP","A","2017",12.7644,
